pattern,pilot
N,annotations
N N,emotion recognition
A N,emotional recognition
A N N,speech-based emotion recognition
A N N,automated emotion recognition
N N N,speech emotion recognition
N N N,emotion recognition system
A N N,uncompensated emotion recognition
A N N,automatic emotion recognition
N N N,emotion recognition method
N N N,emotion recognition task
N,corpus
N,vector
N,dataset
N N,data set
N,classifier
N,algorithm
N,annotators
A N,neutral speech
A C A N,neutral and emotional speech
A C A N,emotional and neutral speech
A N P N,neutral speech of a speaker
N,valence
A N,emotional speech
N N,feature vector
N N N,feature vector quantization
A N N,37-dimensional feature vector
N N,emotion detection
N N N,emotion cause detection
N N N,emotion detection experiments
N N N,emotion detection models
A N N,automatic emotion detection
N N,emotion extraction
N N N,Emotion cause extraction
N N N,emotion extraction task
A N,basic emotions
N,EmoDS
N N,speech signal
N N N,speech signal features
N,hashtags
N N,emotion category
A N,emotional categories
N N,gender detection
A N N,automatic gender detection
N N,emotion classification
N N N,emotion classification method
N N,emotion intensity
N C N P N,intensity or degree of emotion
N N,emotion annotations
N N,excitation source
N N N,excitation source information
N N N,excitation source component
N N N,excitation source features
N N,target terms
N,arousal
N N,training data
N N,dialogue systems
A N N,interactive dialogue system
A N N,emotional dialogue system
A N N,vocal tract system
N N,word embeddings
N N N,word embeddings models
N,MFCC
N,recognizer
A N,primary emotions
N,polarity
N,subset
N N,feature set
N,realization
A N,emotional words
A A N,strong emotional words
N,LSTM
N N,affect lexicons
N N N,WordNet Affect Lexicon
N,behavior
N,datasets
N N,recognition system
A,binary
A N,shared task
N N,seed words
N N N,Seed Word Selection
N N,recognition rate
A N N,class-wise recognition rate
A N N,average recognition rate
N N,feature extraction
N N,feature selection
N N N,feature selection technique
N N,extraction task
A N,experimental results
A N N N,gender-independent emotion recognition system
A N N N,basic emotion recognition system
N N,seed lexicon
A N N,full seed lexicon
A N N,limited seed lexicons
N N,test set
N N,emotion expressions
A N,emotional expression
A N N,non-verbal emotion expressions
A N N,complicated emotion expressions
A N,automatic evaluation
A C A N,automatic and human evaluations
N,formant
A,seq2seq
N N,ECPE task
N N,query term
N N N,Hashtag Query Term
N N,emotion classes
A N,emotional classes
N N,emotion-cause pair
N N N,emotion-cause pair extraction
A N,hidden state
A A N,previous hidden state
N,LPCC
N,Inter-EC
N,multi-task
N N,multi-label task
N P N,intensity of emotion
N N,emotion corpus
N N N,emotion cause corpus
A N N,context-based emotion corpus
A N,Mechanical Turk
N,Turkers
N,COHA
N,LFPC
N N,training set
A N N,limited train set
N N N,Training set size
A N,selected features
A N,future work
N N,emotion classifier
A N N,sequence-level emotion classifier
A N,human evaluation
N,Inter-CE
N,GRNNs
A N,distant supervision
N N,emotion labels
A N,emotional labels
N P A N,label of non-verbal emotion
N N,emotion types
N N,emotion model
A N N,PNN-based emotion model
N,BLEU
N N,compensation transformation
A N N,nonlinear compensation transformation
N N,intensity scores
A N N,gold intensity scores
N N,AANN models
N N,time step
N N,gender information
A N N,correct gender information
A N,relevant features
N,SVDPPMI
A N,Linear Prediction
A,discrete
N,amplitude
A N,deep learning
N N N,word emotion induction
N,bigrams
N,unigrams
N N,recognition accuracy
N P N N,accuracy of the emotion recognition
A N,non-verbal channels
N,decoder
N,readability
N N,generation process
N N N,response generation process
N N,ground truth
N N,emotion analysis
N N,feature groups
A N,semantic orientation
A A N,negative semantic orientation
A A N,positive semantic orientation
N N,emotion lexicon
A N N,external emotion lexicon
A N,historical language
N,keywords
A N,generative models
A N,lexicon-based attention
A N,human judge
N N,sentiment analysis
N N,response generation
A N,outer set
A A N,intermediate outer set
A N N,natural language generation
R,non-verbally
N,setup
A,pre-trained
N,feeler
N,MFCCs
N N,feature engineering
N N,development set
N,HMMs
N N,gold standard
A N N,historical gold standard
N N,dialogue manager
N N,emotion dimensions
A N N,primary emotion dimensions
N N,input post
A N,General Inquirer
N N,attention mechanism
A N N,lexicon-based attention mechanism
A N,emotional meaning
A N,emotional shade
N A N,default emotional shades
A N,seq2seq framework
N N,classification tasks
N N,emotion processing
N N,majority class
N N,evaluation model
A N N,automatic evaluation model
N C N N,extraction and cause extraction
N,encoder
N,activation
N N,classification accuracy
A A N,recurrent neural networks
N N,emotion keyword
N,Chatbot
N N,head words
N P N,set of emotion
N N,emotion set
N P A N,set of basic emotions
A,observed
A,4-tuple
A N,specific emotion
A,gender-independent
A N,F1 score
N,tuples
A N N N,vocal tract system information
A,sequential
N N N,word choice question
N N,Pearson correlation
N N,emotion score
N N,recognition results
N N N,recognition accuracy results
N,adverbs
A N,prosodic features
A A N,Conventional Prosodic Features
A N,conversational agents
N,validation
N N,emotion clause
N N,speech features
A N N,selected speech features
A N,spatial relations
N N,compression layer
N,dialog
N N,machine translation
A N N,neural machine translation
A,supervised
N,SGNS
N N,speech recognition
N A N,Speech Emotional Recognition
A N N,automatic speech recognition
N P N,state of the speaker
A N P N,emotional state of a speaker
A,discriminative
N N,intensity level
N N,LP residual
A,numerical
N N,induction algorithms
N N N,lexicon induction algorithms
N N,thesaurus category
A N,lexical item
N,residual
N N,test data
A N,human judgment
N N,emotion hashtags
N,lexicon
N N,case frame
A,synchronic
A N,empirical study
A N,human annotations
A N N,non-verbal communication channels
N,Affective Tweets
A N,contextual information
N,CECG
N N,emotion definition
A,evaluative
N N,body movements
N N,language stages
A N N,historical language stages
A N,average accuracy
N P N,theory of emotion
N N,emotion theories
A N P N,psychological theory of emotion
N,PARASIMNUM
N,EASC
N N,regression model
N N,vector quantization
N,Emo-prepend
N,GCIs
N,regularization
N N,sentence planning
A N,acoustic features
A N,hidden layers
A N,bestñworst scaling
N,Bi-LSTM
N N,evaluation period
N N,output layer
A N,explicit emotions
N,preprocessing
A N,native speakers
A N,semantic frame
A N,emotional sentences
N,epochs
N,4-tuples
N,sub-tasks
N N,word vectors
N N,text-to-speech synthesis
N,Bravo-Marquez
A N N N,neutral speech AANN models
N N,emotion representation
N N,emotion feature
A,384-dimensional
N N,pilot experiments
N,prosody
A N,physical sensations
N N,output probability
N N,dialog systems
N,subcorpus
N,MOGA
A N N,traditional ECE task
A N,baseline model
N N,Multi-task Learning
N N,emotion information
A N,emotional information
A N,fine-grained emotions
